City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,afaahiti,-17.75,-149.2833,28.93,83,95,11.24,PF,1719878393
83,kavaratti,10.5669,72.642,28.0,87,100,6.97,IN,1719878403
84,san antonio de pale,-1.4014,5.6325,23.79,76,100,6.25,GQ,1719878413
85,ancud,-41.8697,-73.8203,10.69,88,100,9.07,CL,1719878413
86,cockburn town,21.4612,-71.1419,28.26,86,2,7.87,TC,1719878433
87,margate,51.3813,1.3862,16.6,75,100,5.88,GB,1719878443
88,rayachoti,14.05,78.75,27.13,64,100,3.97,IN,1719878454
89,punta arenas,-53.15,-70.9167,0.06,80,75,5.66,CL,1719878090
90,marion,39.7684,-86.1555,23.49,51,79,2.87,US,1719878474
91,badger,64.8,-147.5333,15.95,94,75,2.57,US,1719878484
92,hasaki,35.7333,140.8333,29.05,88,74,3.24,JP,1719878494
93,pemba,-12.974,40.5178,23.04,77,2,5.55,MZ,1719878281
94,bethel,41.3712,-73.414,24.2,64,25,0.45,US,1719878514
95,constantia,44.1833,28.65,19.38,62,7,4.53,RO,1719878240
96,sinabang,2.4803,96.3801,26.31,77,91,1.96,ID,1719878534
97,hilo,19.7297,-155.09,27.19,86,56,0.45,US,1719878544
98,arno,60.1167,18.6333,16.55,69,78,4.8,SE,1719878554
99,manay,7.215,126.5397,27.69,73,78,1.55,PH,1719878564
100,kapa'a,22.0752,-159.319,28.44,68,17,4.02,US,1719878557
101,bageshwar,29.85,79.7667,23.35,94,99,0.61,IN,1719878584
102,filadelfia,39.9523,-75.1638,26.27,51,2,2.24,US,1719878340
103,boguchany,58.3814,97.4531,20.8,66,86,0.94,RU,1719878604
104,ingeniero jacobacci,-41.3427,-69.5448,1.83,100,100,2.78,AR,1719878614
105,albany,42.6001,-73.9662,21.16,71,22,2.24,US,1719878367
106,keflavik,64.0049,-22.5624,9.95,87,100,5.66,IS,1719878472
107,aasiaat,68.7098,-52.8699,2.73,88,95,0.81,GL,1719878655
108,ketchikan,55.3422,-131.6461,14.63,93,100,1.53,US,1719878665
109,sandnessjoen,66.0217,12.6316,10.29,85,100,4.22,NO,1719878675
110,yellowknife,62.456,-114.3525,29.67,36,75,3.6,CA,1719878685
111,rawson,-43.3002,-65.1023,5.96,53,65,2.81,AR,1719878695
112,warrnambool,-38.3833,142.4833,10.15,76,85,2.93,AU,1719878705
113,zakynthos,37.7914,20.8953,24.8,77,0,1.56,GR,1719878715
114,palikir - national government center,6.9248,158.1611,29.47,79,100,2.57,FM,1719878725
115,college,64.8569,-147.8028,19.18,88,100,2.57,US,1719878735
116,suva,-18.1416,178.4415,25.71,78,75,3.09,FJ,1719878724
117,severo-yeniseyskiy,60.3725,93.0408,15.72,78,100,0.62,RU,1719878755
118,mata-utu,-13.2816,-176.1745,27.74,79,98,10.01,WF,1719878765
119,hamilton,39.1834,-84.5333,24.05,47,31,1.34,US,1719878534
120,utrik,11.2278,169.8474,27.88,82,88,9.12,MH,1719878795
121,novodvinsk,64.4165,40.8122,14.86,66,100,3.25,RU,1719878805
122,yilan,24.757,121.753,30.03,74,42,0.9,TW,1719878530
123,murun-kuren,49.6342,100.1625,19.76,59,78,0.62,MN,1719878826
124,sayansk,54.1088,102.1648,22.02,67,51,1.9,RU,1719878836
125,castillos,-34.1667,-53.8333,7.62,82,100,1.67,UY,1719878846
126,stanley,54.868,-1.6985,11.55,94,40,2.06,GB,1719878649
127,hirara,24.8,125.2833,29.3,82,99,6.98,JP,1719878866
128,sovetsk,55.0839,21.8785,11.47,91,51,0.6,RU,1719878876
129,sola,-13.8833,167.55,26.22,81,83,8.1,VU,1719878886
130,st. john's,47.5649,-52.7093,16.82,96,100,8.75,CA,1719878906
131,namibe,-15.1961,12.1522,18.93,58,0,3.47,AO,1719878916
132,simanggang,1.2472,111.4528,23.22,99,100,0.61,MY,1719878926
133,enshi,30.3,109.4833,22.33,88,25,0.62,CN,1719878936
134,sisimiut,66.9395,-53.6735,4.21,95,100,1.0,GL,1719878946
135,dame-marie,18.5667,-74.4167,28.3,80,21,2.03,HT,1719878956
136,talakan,50.3167,130.3667,25.72,46,32,1.68,RU,1719878966
137,ribeira brava,32.65,-17.0667,21.35,75,57,1.83,PT,1719878986
138,talnakh,69.4865,88.3972,2.99,86,100,5.04,RU,1719878997
139,betio village,1.358,172.9211,32.02,77,13,6.4,KI,1719879007
140,westport,41.1415,-73.3579,25.25,59,23,2.24,US,1719878802
141,fojnica,43.9625,17.8983,21.51,90,94,1.09,BA,1719879027
142,divino das laranjeiras,-18.7778,-41.4797,22.24,73,99,2.54,BR,1719879037
143,lago da pedra,-4.3333,-45.1667,25.8,66,50,1.86,BR,1719879047
144,papao,-17.75,-149.55,29.82,80,97,11.94,PF,1719879057
145,hermanus,-34.4187,19.2345,12.3,89,3,1.36,ZA,1719879067
146,altai,46.3722,96.2583,18.29,36,97,1.69,MN,1719879077
147,veraval,20.9,70.3667,28.3,85,100,11.81,IN,1719879087
148,rio brilhante,-21.8019,-54.5464,18.82,58,0,1.89,BR,1719878918
149,avarua,-21.2078,-159.775,24.03,83,100,4.63,CK,1719879108
150,ciudad lazaro cardenas,17.9583,-102.2,23.16,91,100,2.14,MX,1719879096
151,fale old settlement,-9.3852,-171.2468,29.0,72,65,6.92,TK,1719879128
152,jining,35.405,116.5814,22.2,84,100,4.39,CN,1719879138
153,mountain home,43.133,-115.6912,27.79,22,9,3.58,US,1719878868
154,puerto ayora,-0.7393,-90.3518,21.97,94,57,5.02,EC,1719879135
155,algona,43.07,-94.233,18.05,63,75,8.23,US,1719879168
156,nuuk,64.1835,-51.7216,9.34,76,74,3.6,GL,1719879074
157,afif,23.9065,42.9172,25.47,21,3,4.45,SA,1719879010
158,ust-nera,64.5667,143.2,18.07,40,61,2.5,RU,1719879198
159,nadi,-17.8,177.4167,30.4,46,60,1.69,FJ,1719879117
160,as sulayyil,20.4607,45.5779,33.14,12,67,8.48,SA,1719879218
161,plouzane,48.3833,-4.6167,14.38,92,100,3.6,FR,1719879228
162,east london,-33.0153,27.9116,19.15,71,66,4.3,ZA,1719879238
163,cambria,35.5641,-121.0808,36.8,63,31,5.93,US,1719879248
164,hadibu,12.65,54.0333,26.97,77,100,9.38,YE,1719879258
165,urangan,-25.3,152.9,17.33,96,100,3.13,AU,1719879268
166,minas de marcona,-15.2119,-75.1103,12.73,82,0,4.34,PE,1719879279
167,tura,25.5198,90.2201,24.28,99,100,1.26,IN,1719879289
168,vorgashor,67.5833,63.95,6.02,68,91,2.71,RU,1719879299
169,guilin,25.2819,110.2864,24.06,98,100,1.24,CN,1719879309
170,newman,37.3138,-121.0208,38.13,10,0,4.39,US,1719879319
171,kirensk,57.7853,108.1119,26.7,46,22,1.9,RU,1719879329
172,pisco,-13.7,-76.2167,16.03,88,100,5.66,PE,1719879339
173,nishinoomote,30.7333,131.0,29.31,83,75,4.12,JP,1719879349
174,gaigeturi,33.4644,126.3183,29.03,74,75,9.77,KR,1719879359
175,iskateley,67.6803,53.1512,7.35,68,0,1.64,RU,1719879369
176,isafjordur,66.0755,-23.124,7.33,73,5,4.38,IS,1719879379
177,orsa,54.5153,30.4053,16.68,95,94,1.37,BY,1719879389
178,katabu,-4.9333,122.5167,25.62,90,94,1.66,ID,1719879399
179,hovd,48.0056,91.6419,21.94,41,48,0.58,MN,1719879371
180,vianopolis,-16.7419,-48.5164,18.98,35,4,2.33,BR,1719879419
181,jamestown,42.097,-79.2353,18.8,52,0,2.57,US,1719879429
182,grande prairie,55.1667,-118.8027,21.1,37,20,10.8,CA,1719879322
183,port macquarie,-31.4333,152.9167,14.38,97,71,1.79,AU,1719879449
184,paso de los toros,-32.8167,-56.5167,7.65,83,0,3.09,UY,1719879460
185,longyearbyen,78.2186,15.6401,6.91,76,0,1.54,SJ,1719879470
186,singarayakonda,15.25,80.0333,28.97,64,100,5.63,IN,1719879480
187,uturoa,-16.7333,-151.4333,26.32,80,57,9.51,PF,1719879490
188,muang phon-hong,18.4928,102.4172,23.58,97,100,0.45,LA,1719879500
189,kingston,17.997,-76.7936,29.53,66,7,8.23,JM,1719879520
190,labrador city,52.9463,-66.9114,17.95,36,20,3.09,CA,1719879312
191,hotan,37.0997,79.9269,25.27,35,100,7.27,CN,1719879540
192,genoa,44.4129,8.9573,21.14,87,40,1.34,IT,1719879550
193,san isidro,-12.1167,-77.05,17.07,84,100,4.12,PE,1719879560
194,piacabucu,-10.4056,-36.4344,23.59,74,0,3.06,BR,1719879570
195,plock,52.5468,19.7064,15.0,97,79,2.23,PL,1719879580
196,revda,56.801,59.9303,12.05,98,30,1.22,RU,1719879590
197,chonchi,-42.6128,-73.8092,6.73,97,100,2.84,CL,1719879600
198,ma'rib,15.4591,45.3253,29.01,37,98,4.61,YE,1719879611
199,lihue,21.9789,-159.3672,28.77,66,20,6.17,US,1719879621
200,cavalaire-sur-mer,43.174,6.5272,23.9,78,19,2.22,FR,1719879631
201,moyale,3.5167,39.0584,19.0,56,67,2.33,KE,1719879641
202,labytnangi,66.6572,66.4183,7.69,66,100,0.9,RU,1719879651
203,kyzyl-suu,42.3414,78.0056,13.21,87,84,1.9,KG,1719879661
204,new plymouth,-39.0667,174.0833,13.23,100,100,7.4,NZ,1719879671
205,kroya,-7.6331,109.2461,25.05,87,100,2.19,ID,1719879681
206,pangai,-19.8,-174.35,26.06,69,20,7.2,TO,1719879691
207,walvis bay,-22.9575,14.5053,12.27,100,0,0.51,,1719879701
208,anadyr,64.75,177.4833,11.28,76,20,6.0,RU,1719879711
209,saint george's,12.0564,-61.7485,27.41,84,100,10.34,GD,1719879721
210,flin flon,54.7682,-101.865,15.0,87,100,2.75,CA,1719879731
211,makary,12.5717,14.4666,29.37,52,68,3.52,CM,1719879741
212,bolotnoye,55.6717,84.3981,17.17,91,79,2.11,RU,1719879751
213,codrington,-38.2667,141.9667,9.62,67,100,1.48,AU,1719879761
214,dudinka,69.4058,86.1778,4.05,72,92,6.31,RU,1719879771
215,atafu village,-8.5421,-172.5159,29.16,70,37,6.87,TK,1719879781
216,zeya,53.75,127.2667,30.06,39,5,1.51,RU,1719879802
217,prince rupert,54.3161,-130.3201,13.05,96,100,2.06,CA,1719879812
218,charters towers,-20.1,146.2667,21.65,63,47,3.02,AU,1719879822
219,arroyo,41.6096,-4.7969,15.6,80,0,3.09,ES,1719879832
220,mount isa,-20.7333,139.5,13.87,54,4,5.66,AU,1719879842
221,kimberley,-28.7323,24.7623,10.83,93,98,2.57,ZA,1719879852
222,zalingei,12.9096,23.4741,24.77,60,59,1.12,SD,1719879862
223,nova vicosa,-17.8919,-39.3719,22.74,80,50,2.53,BR,1719879872
224,caconda,-13.7333,15.0667,12.51,45,0,0.76,AO,1719879882
225,nadapuram,11.7,75.6667,24.99,89,100,0.93,IN,1719879892
226,chekhov,55.1431,37.4711,20.94,87,82,2.1,RU,1719879902
227,la'ie,21.6477,-157.9253,30.0,71,11,2.24,US,1719879912
228,malindi,-3.2175,40.1191,25.37,84,97,6.62,KE,1719879922
229,tofol,5.3248,163.0078,31.88,70,75,4.63,FM,1719879932
230,tsiombe,-25.3,45.4833,17.45,83,0,1.97,MG,1719879942
231,hammerfest,70.6634,23.6821,8.25,100,100,4.12,NO,1719879953
232,upington,-28.4478,21.2561,11.11,50,10,2.62,ZA,1719879963
233,bodaybo,57.8506,114.1933,27.15,56,61,0.73,RU,1719879973
234,hollabrunn,48.55,16.0833,19.45,73,100,0.89,AT,1719879983
235,remire-montjoly,4.9167,-52.2667,27.02,89,0,1.54,GF,1719879993
236,timbuktu,16.7735,-3.0074,35.45,36,69,4.37,ML,1719880003
237,fortuna,40.5982,-124.1573,18.53,85,20,6.69,US,1719880013
238,saint-louis,16.3333,-15.0,29.8,65,61,7.3,SN,1719880023
239,asmar,35.0333,71.3581,22.41,39,2,3.29,AF,1719880033
240,dryden,49.7833,-92.7503,15.16,82,100,4.63,CA,1719880043
241,kargat,55.1956,80.2811,17.39,88,100,2.84,RU,1719880053
242,atambua,-9.1061,124.8925,26.19,67,37,1.68,ID,1719880063
